Source,Source Name,IP,Service,Target,Timestamp
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-02-04T16:47:05.266Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE04,2025-02-04T13:21:52.259Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-02-04T11:41:51.200Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE01,2025-02-04T11:41:48.211Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-02-04T11:17:42.197Z
SERVER03,SERVER03,10.168.146.232,Uncategorized (USER01@DOMAIN.ORG),USER01,2025-02-04T10:00:00.488Z
10.168.146.150,10.168.146.150,10.168.146.150,File Share,FILESHARE02,2025-02-04T09:31:22.870Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-02-04T09:31:19.875Z
10.168.146.150,10.168.146.150,10.168.146.150,File Share,FILESHARE01,2025-02-04T09:31:19.859Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-02-04T08:28:34.496Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE04,2025-02-04T08:28:34.480Z
10.168.146.61,10.168.146.61,10.168.146.61,File Share,FILESHARE02,2025-02-04T08:28:31.152Z
10.168.145.78,10.168.145.78,10.168.145.78,File Share,FILESHARE01,2025-02-04T07:02:15.470Z
SERVER02,SERVER02,10.168.146.61,LDAP,DC02,2025-02-04T04:04:30.316Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE04,2025-02-04T03:41:27.900Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-02-04T02:07:28.875Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE01,2025-02-04T01:51:26.273Z
10.168.145.201,10.168.145.201,10.168.145.201,File Share,FILESHARE02,2025-02-04T01:51:23.262Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-02-03T23:50:55.289Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE01,2025-02-03T23:50:55.289Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-02-03T23:50:55.289Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE04,2025-02-03T22:38:08.318Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-02-03T22:38:08.317Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE02,2025-02-03T22:38:08.020Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-02-03T22:16:40.421Z
10.168.145.201,10.168.145.201,10.168.145.201,File Share,FILESHARE04,2025-02-03T17:51:03.273Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE01,2025-02-03T16:10:59.493Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-02-03T16:10:59.399Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-02-03T15:47:16.440Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-02-03T14:16:39.325Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-02-03T14:00:33.279Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE01,2025-02-03T14:00:30.287Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-02-03T14:00:30.282Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-02-03T12:57:47.539Z
10.168.146.61,10.168.146.61,10.168.146.61,File Share,FILESHARE02,2025-02-03T12:57:44.523Z
10.168.146.61,10.168.146.61,10.168.146.61,File Share,FILESHARE04,2025-02-03T12:57:44.523Z
SERVER02,SERVER02,10.168.146.61,File Share,DC05,2025-02-03T11:59:11.830Z
SERVER03,SERVER03,10.168.146.232,Uncategorized (USER01@DOMAIN.ORG),USER01,2025-02-03T10:00:00.728Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE04,2025-02-03T08:10:39.036Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-02-03T06:27:05.750Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-02-03T06:20:37.401Z
10.168.145.201,10.168.145.201,10.168.145.201,File Share,FILESHARE01,2025-02-03T06:20:34.396Z
